                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.3502,                 1.5939,                 1.5598,                0.37218,                0.26424,                0.24515,                0.12076,                 2.0344,                 2.2538,                 2.3051,             0.00026422,             0.00026422,             0.00026422
                     88,                  1.317,                 1.5781,                  1.558,                0.40158,                0.27186,                0.24683,                0.12113,                 2.0404,                 2.2327,                 2.3152,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.3369,                 1.6116,                 1.5531,                0.44042,                0.26335,                0.25442,                0.12828,                 2.0358,                 2.2314,                 2.3199,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.2667,                 1.5519,                 1.5234,                 0.4316,                0.26598,                0.25538,                0.12922,                 2.0063,                 2.2337,                 2.2983,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.3327,                 1.7696,                 1.6306,                0.44952,                0.26494,                0.25821,                0.13019,                 2.0064,                 2.2303,                 2.2954,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.3084,                 1.6927,                 1.6129,                 0.4637,                0.25266,                0.25039,                0.12801,                 2.0119,                 2.2208,                  2.295,              0.0001817,              0.0001817,              0.0001817
                     93,                  1.291,                 1.6716,                 1.5923,                0.44487,                0.24926,                0.25715,                0.12942,                 2.0043,                 2.2218,                 2.2744,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.3113,                 1.6606,                 1.5875,                0.43375,                0.25391,                0.25906,                0.12819,                 1.9941,                 2.2136,                  2.264,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.3039,                 1.6788,                  1.614,                0.41692,                0.26879,                0.25966,                 0.1289,                 1.9953,                 2.2341,                 2.2705,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.2794,                 1.6476,                  1.578,                0.41432,                0.27182,                0.26193,                0.13224,                 2.0121,                 2.2244,                 2.2888,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.2779,                 1.6355,                 1.5661,                0.37777,                0.29003,                0.26236,                0.13282,                 2.0146,                 2.2186,                 2.2936,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.2473,                 1.5968,                  1.555,                0.39602,                0.29438,                0.26361,                0.13248,                 2.0159,                 2.2144,                 2.2902,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.2727,                 1.6525,                 1.5799,                0.38646,                0.29332,                0.26346,                0.13318,                 2.0247,                 2.2195,                 2.2977,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.2905,                 1.6493,                 1.6183,                 0.3929,                0.28659,                0.26197,                0.13163,                 2.0434,                 2.2249,                 2.3057,             4.9677e-05,             4.9677e-05,             4.9677e-05
